FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_COUNTY_FIPS_CODE,Code Expansion for State  FIPS Code,STATE_ABBR,Code Expansion for State Abbreviation,ZIP_CODE,REGION,Code Expansion for Region,FAC_CLOSED_IND,MAIL_NAME,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE_ABBR,MAIL_COUNTRY,MAIL_ZIP_CODE,ASGN_AGENCY,Code Expansion for Assigned Agency,ASGN_FEDERAL_IND,PARENT_CO_DB_NUM,PARENT_CO_NAME,STANDARDIZED_PARENT_COMPANY,ASGN_PARTIAL_IND,ASGN_PUBLIC_CONTACT,ASGN_PUBLIC_PHONE,ASGN_PUBLIC_CONTACT_EMAIL,REGISTRY_ID,ASGN_PUBLIC_PHONE_EXT,LATITUDE,LONGITUDE,REF_POINT_DESC,REF_POINT_CODE,COLLECT_DESC,COLLECT_MTH_CODE,ACCURACY_VALUE,ACCURACY_SCORE,HDATUM_DESC,SCALE,SOURCE_CODE,CONVEYOR,COMPLIANCE_URL,FACILITY_COMPLIANCE_REPORT_URL
60007MPCRP1350L,MAPEI CORP,1350 LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,1,MAPEI CORP,1350 LIVELY BLVD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,NA,No US Parent,,0,CRAIG W. HAMILTON,7083644470,,1.10E+11,,42.00814,-87.97045,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007MPCRP1350L
60007NDMCR8SCTT,INDIUM CORP OF AMERICA,80 SCOTT ST,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,INDIUM CORP OF AMERICA,80 SCOTT ST,ELK GROVE VILLAGE,IL,,60007,,N/A,C,2227296,INDIUM CORP OF AMERICA,INDIUM CORP OF AMERICA,0,RICK SHORT,3158534900,RSHORT@INDIUM.COM,1.10E+11,,42.02874,-87.97697,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007NDMCR8SCTT
60007NDSTR901GR,INDUSTRIAL HARD CHROME LTD,901 GREENLEAF AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,INDUSTRIAL HARD CHROME LTD,901 GREENLEAF AVE,ELK GROVE VILLAGE,IL,,60007,,N/A,C,NA,No US Parent,,0,JEFFREY P. HAYES,7082087000,,1.10E+11,,42.00381,-87.97477,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007NDSTR901GR
60007NVRSL1124E,UNIVERSAL CHEMICALS & COATINGS INC,1124 ELMHURST RD,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,UNIVERSAL CHEMICALS & COATINGS INC,1124 ELMHURST RD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,NA,UNIVERSAL CHEMICALS & COATINGS INC,UNIVERSAL CHEMICALS & COATINGS INC,0,FREDERICK V. CHIN,8479311700,FCHIN@UNICHEMINC.COM,1.10E+11,,42.009489,-87.940967,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,20,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007NVRSL1124E
60007PRMRC2250A,CORONADO PAINT CO,2250 ARTHUR AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,CORONADO PAINT CO,2250 ARTHUR AVE,ELK GROVE VILLAGE,IL,,60007,,N/A,C,82400441,CORNADO PAINT CO,,0,TODD ANDRUSS,8474394200,,1.10E+11,,41.99583,-87.94807,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007PRMRC2250A
60007STRLC825PR,STAR ELECTRONICS INC,825 PRATT BLVD,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,STAR ELECTRONICS INC,825 PRATT BLVD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,,No US Parent,NA,0,SUBHASH PATEL,8474390605,STARELECTRONIC@SBCGLOBAL.NET,1.10E+11,,41.99798,-87.97457,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007STRLC825PR
60007WBRVL1099E,WEBER-VALENTINE MICHIGAN LLC,1099 E MORSE AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,PRIMELINE/WEBER-VALENTINE,20475 WOODINGHAM,DETROIT,MI,,48221,,N/A,C,809798465,PRIMELINE REPROGRAPHICS INC,,0,THURMOND KITCHEN,8474397111,,1.10E+11,,41.999559,-87.970768,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007WBRVL1099E
60013CCTRN225NF,BARTLETT MANUFACTURING,225 N FIRST ST,CARY,MCHENRY,17111,MCHENRY IL,IL,N/A,60013,5,REGION 5,0,BARTLETT MANUFACTURING,225 N FIRST ST,CARY,IL,,60013,,N/A,C,NA,No US Parent,,0,UNITED STATES COMPLIANCE CORPORATION,9522523000,NA,1.10E+11,,42.21124,-88.23824,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60013CCTRN225NF
60013FPMCN320CA,FPM CONTINUOUS PROCESSING INC,320 CARY POINT DR,CARY,MCHENRY,17111,MCHENRY IL,IL,N/A,60013,5,REGION 5,0,FPM/IPSEN HEAT TREATING,648 U.S. RTE. 20,CHERRY VALLEY,IL,,61016,,N/A,C,94740412,FPM LLC,,0,WILLIAM APPLEQUIST,8153324961,,1.10E+11,,42.20024,-88.23203,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60013FPMCN320CA
60014KNCKM420ET,KNAACK LLC,420 E TERRA COTTA AVE,CRYSTAL LAKE,MCHENRY,17111,MCHENRY IL,IL,N/A,60014,5,REGION 5,0,KNAACK LLC,420 E TERRA COTTA AVE,CRYSTAL LAKE,IL,,60014,,N/A,C,195037783,WERNER CO,WERNER CO,0,SAIED DJAVADI,8153564502,SAIED.DJAVADI@WERNERCO.COM,1.10E+11,,42.249351,-88.302868,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,5,10,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60014KNCKM420ET
60016LLNST195AL,ITW FASTEX,195 ALGONQUIN RD,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60016,5,REGION 5,0,ITW FASTEX,195 ALGONQUIN RD,DES PLAINES,IL,,60016,,N/A,C,5146428,ILLINOIS TOOL WORKS INC,,0,MICHAEL SKOWRONEK,8472992222,MSKOWRONEK@ITWFASTEX.COM,1.10E+11,,42.030327,-87.926129,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,150,150,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60016LLNST195AL
60016MYRMT586WL,OZINGA READY-MIX DESPLAINES2,586 WOLF RD,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60016,5,REGION 5,0,OZINGA READY-MIX DESPLAINES2,19001 OLD LAGRANGE RD,MOKENA,IL,,60448,,N/A,C,NA,OZINGA BROS INC,OZINGA BROS INC,0,LLOYD MEYER,3124328116,LLOYDMEYER@OZINGA.COM,1.10E+11,,42.04141,-87.91247,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60016MYRMT586WL
60018BWXCR45EAS,LOCTITE CORP,45 E BRADROCK DR,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,0,LOCTITE CORP.,211 FRANKLIN ST.,OLEAN,NY,,14760,,N/A,C,51441731,HENKEL CORP,,0,JAY FULMER,7163726300,,1.10E+11,,42.02033,-87.91949,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018BWXCR45EAS
60018DPNCX7100N,DAP INC,7100 N MANNHEIM RD,ROSEMONT,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,0,DAP INC,7100 N MANNHEIM RD,ROSEMONT,IL,,60018,,N/A,C,NA,WASSALL USA INC,,0,SUSAN SANDRO,5136674461,,1.10E+11,,42.009254,-87.885705,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018DPNCX7100N
60018GNRLC178BI,GENERAL CABLE INDUSTRIES INC,1780 BIRCHWOOD AVE,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,1,GENERAL CABLE INDUSTRIES INC,1780 BIRCHWOOD AVE,DES PLAINES,IL,,60018,,N/A,C,847914173,GENERAL CABLE CORP,GENERAL CABLE CORP,0,CHRIS GAZDIC,8477959555,,1.10E+11,,42.01507,-87.880137,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018GNRLC178BI
60018NNCMP100EO,UNION CAMP CORP,100 E OAKTON,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,0,UNION CAMP CORP,100 E OAKTON,DES PLAINES,IL,,60018,,N/A,C,1306935,UNION CAMP CORP,,0,EDWARD STURN,3123901300,,1.10E+11,,42.02427,-87.91727,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018NNCMP100EO
60018PRRMT385ET,VCNA PRAIRIE LLC - YARD 1008,385 E TOUHY AVE,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,0,VCNA PRAIRIE LLC - YARD 1008,7601 W 79TH ST,BRIDGEVIEW,IL,,60455,,N/A,C,25697343,VCNA PRAIRIE LLC,VCNA PRAIRIE LLC,0,CHAD GROFF  VP OPERATIONS,7084580400,CMGROFF@PRAIRIE.COM,1.10E+11,,42.00693,-87.91427,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,17,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018PRRMT385ET
60018THCHC2100S,CHICAGO FAUCET CO,2100 S CLEARWATER DR,DES PLAINES,COOK,17031,COOK IL,IL,N/A,60018,5,REGION 5,0,CHICAGO FAUCET CO,2100 S CLEARWATER DR,DES PLAINES,IL,,60018,,N/A,C,NA,No US Parent,,0,BUD HANSEN,8408035000,,1.10E+11,,42.013429,-87.916256,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,5,5,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60018THCHC2100S
60021GRVPL400AL,GROVE PLATING CO INC,400 ALGONQUIN RD,FOX RIVER GROVE,MCHENRY,17111,MCHENRY IL,IL,N/A,60021,5,REGION 5,0,GROVE PLATING CO INC,400 ALGONQUIN RD,FOX RIVER GROVE,IL,,60021,,N/A,C,,No US Parent,NA,0,RICK KOSTNER,8476397651,RICK@GROVEPLATING.COM,1.10E+11,,42.197003,-88.218662,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,99999999,NAD83,,,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60021GRVPL400AL
60025ZNTHL1000M,ZENITH ELECTRONICS CORP,1000 MILWAUKEE AVE,GLENVIEW,COOK,17031,COOK IL,IL,N/A,600252493,5,REGION 5,0,ZENITH ELECTRONICS CORP,1000 MILWAUKEE AVE,GLENVIEW,IL,,60025-2493,,N/A,C,NA,No US Parent,,0,RAY R. BABILLA,8473917000,,1.10E+11,,42.07621,-87.85932,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60025ZNTHL1000M
60033DNFDS6303M,DEAN DAIRY HOLDINGS LLC,6303 MAXON RD,HARVARD,MCHENRY,17111,MCHENRY IL,IL,N/A,60033,5,REGION 5,0,DEAN DAIRY HOLDINGS LLC,6303 MAXON RD,HARVARD,IL,,60033,,N/A,C,929182210,DEAN FOODS CO,DEAN FOODS CO,0,NEIL ROTE,8159435441,NEIL_ROTE@DEANFOODS.COM,1.10E+11,4318,42.417912,-88.666553,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,20,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60033DNFDS6303M
60047JYRHG800NO,HYDRITE CHEMICAL CO.,800 N OAKWOOD RD,LAKE ZURICH,LAKE,17097,LAKE IL,IL,N/A,600471522,5,REGION 5,0,HYDRITE CHEMICAL CO,300 N PATRICK BLVD,BROOKFIELD,WI,,53045,,N/A,C,6435887,HYDRITE CHEMICAL CO,,0,PATRICIA HEMANN,8473385473,PATTY.HEMANN@HYDRITE.COM,1.10E+11,,42.210624,-88.070077,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,5,10,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60047JYRHG800NO
60048MTRLN600NU,MOTOROLA INC,600 N US HWY 45,LIBERTYVILLE,LAKE,17097,LAKE IL,IL,N/A,600485343,5,REGION 5,0,MOTOROLA INC,600 N US HWY 45 ENVIRONMENTAL HEALTH & SAFETY,LIBERTYVILLE,IL,,600485343,,N/A,C,NA,No US Parent,,0,LESLIE DANCE,8475232226,,1.10E+11,,42.289294,-87.998987,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,20,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60048MTRLN600NU
6004WGRMRC1275E,GEREMARIE CORP,1275 ENSELL RD,LAKE ZURICH,LAKE,17097,LAKE IL,IL,N/A,60047,5,REGION 5,0,GEREMARIE CORP,1275 ENSELL RD,LAKE ZURICH,IL,,60047,,N/A,C,,No US Parent,NA,0,SHERI PRINCIPATO,8475401154,SPRINCIPATO@GEREMARIE.COM,1.10E+11,,42.20468,-88.06549,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=6004WGRMRC1275E
60050PLYMR1515M,CLARIANT CORPORATION - MASTERBATCHES DIVISION,1515 MILLER PARKWAY,MCHENRY,MCHENRY,17111,MCHENRY IL,IL,N/A,60050,5,REGION 5,0,CLARIANT CORPORATION - MASTERBATCHES DIVISION,1515 MILLER PARKWAY,MCHENRY,IL,,60050,,N/A,C,108706425,CLARIANT CORP,,0,STEVE SNOW,5088296321,STEVE.SNOW@CLARIANT.COM,1.10E+11,,42.30713,-88.29739,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60050PLYMR1515M
60053JHNCR6400W,JOHN CRANE INC,6400 W OAKTON ST,MORTON GROVE,COOK,17031,COOK IL,IL,N/A,60053,5,REGION 5,0,JOHN CRANE INC,6400 W OAKTON ST,MORTON GROVE,IL,,60053,,N/A,C,,No US Parent,NA,0,PHILIP MOLE',8479673119,PHILIP.MOLE@JOHNCRANE.COM,1.10E+11,,42.02665,-87.7865,ENTRANCE POINT OF A FACILITY OR STATION,101,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60053JHNCR6400W
60062DNLWD3411W,DANIEL WOODHEAD CO,3411 WOODHEAD DR,NORTHBROOK,COOK,17031,COOK IL,IL,N/A,60062,5,REGION 5,0,DANIEL WOODHEAD CO,3411 WOODHEAD DR,NORTHBROOK,IL,,60062,,N/A,C,5195433,WOODHEAD IND INC,,0,ROBERT TORTORELLO,7082727990,,1.10E+11,,42.14914,-87.86382,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60062DNLWD3411W
60062NDNDS1840R,OAKLAND CORP ND INDUSTRIES DIV,1840 RAYMOND DR,NORTHBROOK,COOK,17031,COOK IL,IL,N/A,60062,5,REGION 5,0,OAKLAND CORP ND INDUSTRIES DIV,1840 RAYMOND DR,NORTHBROOK,IL,,60062,,N/A,C,NA,OAKLAND CORP,,0,JOHN THRAMANN,3124983600,,1.10E+11,,42.11186,-87.82625,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60062NDNDS1840R
60064FDRLD92522,FEDERAL DIE CASTING CO,925 22ND ST,NORTH CHICAGO,LAKE,17097,LAKE IL,IL,N/A,60064,5,REGION 5,0,FEDERAL DIE CASTING CO,925 22ND ST,NORTH CHICAGO,IL,,60064,,N/A,C,NA,No US Parent,,0,MALACHY CROSS,8474739090,,1.10E+11,,42.31936,-87.84384,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60064FDRLD92522
